gamma,replicate,individual,type,theshold,degree,degree_initial,centrality,centrality_initial,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.4,60.0,74.0,0.0,0.27432144017435733,4.0,7.0,0.13892675160959714,0.32269433560374666,1.0,2.0,0.0,2.0
-0.4,60.0,75.0,1.0,0.33659239376314254,6.0,7.0,0.1685853073636075,0.2998739067503534,1.0,1.0,1.0,2.0
-0.4,60.0,76.0,1.0,0.7292327851720026,3.0,3.0,0.08247170512183155,0.12260049190807866,0.0,0.0,0.0,0.0
-0.4,60.0,77.0,0.0,0.1850998721910161,9.0,9.0,0.3718825605398422,0.4063681702341801,4.0,0.0,1.0,5.0
-0.4,60.0,78.0,1.0,0.6466202198659148,2.0,7.0,0.10893300512119757,0.3023570654974661,0.0,2.0,0.0,3.0
-0.4,60.0,79.0,1.0,0.17441856402630274,7.0,10.0,0.3907200806610377,0.5475052016033425,3.0,2.0,1.0,5.0
-0.4,60.0,80.0,0.0,0.8577877041691538,14.0,10.0,0.5773465860669743,0.5749382312752982,3.0,0.0,3.0,2.0
-0.4,60.0,81.0,0.0,0.8762863719871697,13.0,11.0,0.6656759072960353,0.6224713477931633,1.0,0.0,2.0,1.0
-0.4,60.0,82.0,1.0,0.9534559001929372,11.0,9.0,0.4267708161027591,0.3484882355470323,3.0,0.0,4.0,5.0
-0.4,60.0,83.0,0.0,0.3204760496735528,5.0,10.0,0.21185846728137966,0.5268778006019708,1.0,2.0,0.0,4.0
-0.4,60.0,84.0,0.0,0.22520776364347428,0.0,3.0,2.5280656334046168e-17,0.14962489545856236,0.0,0.0,0.0,3.0
-0.4,60.0,85.0,0.0,0.2892538615862307,8.0,7.0,0.35336567448399236,0.2544255664838539,3.0,1.0,1.0,2.0
-0.4,60.0,86.0,0.0,0.5929429822783412,14.0,10.0,0.6208856682349694,0.38839505612905056,3.0,0.0,3.0,2.0
-0.4,60.0,87.0,0.0,0.504815476333653,8.0,8.0,0.2980113916321867,0.3402977290533505,2.0,0.0,1.0,3.0
-0.4,60.0,88.0,0.0,0.7412041691028275,11.0,6.0,0.4831280559577605,0.34664721275696747,2.0,0.0,3.0,0.0
-0.4,60.0,89.0,1.0,0.9706923666845867,13.0,11.0,0.6096253523663047,0.49613176476127197,4.0,0.0,1.0,3.0
-0.4,60.0,90.0,0.0,0.6094579542158357,12.0,7.0,0.5958218780531602,0.2816341296229594,0.0,1.0,7.0,1.0
-0.4,60.0,91.0,0.0,0.6776419539529547,13.0,4.0,0.39951535061155724,0.13346862624769024,6.0,0.0,3.0,0.0
-0.4,60.0,92.0,1.0,0.9359308812092477,18.0,11.0,0.821238275023353,0.5496488822598252,6.0,0.0,3.0,2.0
-0.4,60.0,93.0,0.0,0.07808613207581394,7.0,11.0,0.24925544385552417,0.5105289406241207,4.0,1.0,0.0,7.0
-0.4,60.0,94.0,0.0,0.08390522759825425,2.0,12.0,0.08438757874190427,0.6533642535721059,0.0,2.0,0.0,8.0
-0.4,60.0,95.0,0.0,0.19357886396694202,2.0,4.0,0.03867380447008075,0.11999179319391058,1.0,2.0,0.0,1.0
-0.4,60.0,96.0,0.0,0.394660774484504,16.0,11.0,0.7248630970262632,0.546130163214557,4.0,0.0,2.0,1.0
-0.4,60.0,97.0,0.0,0.7678608599315915,8.0,5.0,0.3577285940479087,0.18806025837065676,3.0,0.0,1.0,1.0
-0.4,60.0,98.0,1.0,0.619559454704847,9.0,8.0,0.4309935815294846,0.4362919939695934,1.0,0.0,1.0,1.0
