gamma,replicate,individual,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
0.9,3,130,2,0,2,0
0.9,3,131,0,1,1,0
0.9,3,132,0,2,0,2
0.9,3,133,0,3,1,0
0.9,3,134,0,1,1,2
0.9,3,135,0,2,0,3
0.9,3,136,2,2,1,1
0.9,3,137,0,0,1,1
0.9,3,138,1,0,0,3
0.9,3,139,0,2,0,0
0.9,3,140,0,0,0,2
0.9,3,141,0,3,0,1
0.9,3,142,0,1,0,0
0.9,3,143,0,1,0,1
0.9,3,144,0,2,0,1
0.9,3,145,1,3,0,0
0.9,3,146,0,2,0,0
0.9,3,147,2,1,1,1
0.9,3,148,0,1,1,0
0.9,3,149,0,3,0,1
0.9,3,150,0,1,0,0
0.9,3,151,3,0,0,0
0.9,3,152,0,0,0,2
0.9,3,153,0,2,0,2
0.9,3,154,0,1,0,0
0.9,3,155,0,0,0,1
0.9,3,156,2,0,3,0
0.9,3,157,0,0,1,0
0.9,3,158,1,0,0,0
0.9,3,159,0,0,0,1
0.9,3,160,0,0,0,0
0.9,3,161,1,1,1,2
0.9,3,162,0,3,0,1
0.9,3,163,0,0,0,2
0.9,3,164,0,2,2,0
0.9,3,165,0,2,0,0
0.9,3,166,1,1,0,2
0.9,3,167,1,3,1,1
0.9,3,168,0,4,0,2
0.9,3,169,0,0,0,0
0.9,3,170,1,0,1,1
0.9,3,171,0,2,0,0
0.9,3,172,3,1,2,2
0.9,3,173,1,2,0,0
0.9,3,174,0,0,0,1
0.9,3,175,0,1,0,2
0.9,3,176,0,3,0,1
0.9,3,177,1,5,1,1
0.9,3,178,1,1,0,2
0.9,3,179,0,0,0,1
0.9,3,180,0,1,0,0
0.9,3,181,0,1,0,1
0.9,3,182,0,3,0,2
0.9,3,183,1,1,0,1
0.9,3,184,0,1,0,2
0.9,3,185,0,0,0,3
0.9,3,186,0,1,2,0
0.9,3,187,1,0,0,0
0.9,3,188,0,0,0,1
0.9,3,189,0,1,0,3
0.9,3,190,0,3,1,1
0.9,3,191,0,0,1,0
0.9,3,192,0,2,0,1
0.9,3,193,2,0,5,1
0.9,3,194,0,4,1,2
0.9,3,195,0,2,0,0
0.9,3,196,1,1,0,1
0.9,3,197,2,0,1,2
0.9,3,198,1,1,0,2
0.9,3,199,0,4,0,1
0.9,4,0,1,0,0,0
0.9,4,1,0,0,0,0
0.9,4,2,0,1,0,1
0.9,4,3,1,1,0,1
0.9,4,4,0,2,0,1
0.9,4,5,0,2,0,0
0.9,4,6,0,2,0,0
0.9,4,7,1,2,0,1
0.9,4,8,0,4,1,1
0.9,4,9,0,3,0,1
0.9,4,10,0,1,0,0
0.9,4,11,0,2,0,1
0.9,4,12,0,2,0,0
0.9,4,13,0,1,1,0
0.9,4,14,0,1,0,3
0.9,4,15,0,2,0,2
0.9,4,16,1,1,1,1
0.9,4,17,1,1,0,1
0.9,4,18,0,4,0,1
0.9,4,19,0,1,2,0
0.9,4,20,0,1,0,0
0.9,4,21,1,1,1,0
0.9,4,22,0,0,0,1
0.9,4,23,0,0,0,0
0.9,4,24,0,1,1,0
0.9,4,25,0,0,0,1
0.9,4,26,3,0,1,3
0.9,4,27,1,1,1,0
0.9,4,28,1,1,2,1
0.9,4,29,0,1,2,1
0.9,4,30,1,2,0,1
0.9,4,31,0,2,0,0
0.9,4,32,0,2,1,2
0.9,4,33,0,2,0,1
0.9,4,34,0,0,0,1
0.9,4,35,0,0,0,1
0.9,4,36,1,0,1,1
0.9,4,37,0,2,0,1
0.9,4,38,1,0,1,1
0.9,4,39,0,2,0,0
0.9,4,40,0,1,0,1
0.9,4,41,1,1,0,0
0.9,4,42,0,3,1,1
0.9,4,43,0,3,0,1
0.9,4,44,0,2,0,1
0.9,4,45,0,3,0,2
0.9,4,46,0,0,0,1
0.9,4,47,0,0,1,2
0.9,4,48,0,2,0,2
0.9,4,49,0,0,0,1
0.9,4,50,0,1,0,0
0.9,4,51,0,2,0,1
0.9,4,52,0,3,0,1
0.9,4,53,0,1,0,1
0.9,4,54,1,2,0,2
0.9,4,55,0,1,0,1
0.9,4,56,2,1,2,1
0.9,4,57,0,0,0,1
