gamma,replicate,individual,same_type_adds,same_type_breaks,diff_type_adds,diff_type_breaks
-0.8,3,8,2,0,0,0
-0.8,3,9,1,0,3,1
-0.8,3,10,0,1,0,2
-0.8,3,11,0,1,2,0
-0.8,3,12,3,0,3,0
-0.8,3,13,0,2,0,2
-0.8,3,14,1,0,1,0
-0.8,3,15,0,0,1,0
-0.8,3,16,0,1,0,1
-0.8,3,17,0,0,3,0
-0.8,3,18,2,1,5,0
-0.8,3,19,0,2,0,2
-0.8,3,20,1,0,1,0
-0.8,3,21,0,2,3,0
-0.8,3,22,0,1,3,1
-0.8,3,23,1,1,1,0
-0.8,3,24,0,1,0,1
-0.8,3,25,2,0,4,1
-0.8,3,26,0,2,1,1
-0.8,3,27,1,0,2,1
-0.8,3,28,0,2,1,1
-0.8,3,29,1,0,2,0
-0.8,3,30,0,3,1,2
-0.8,3,31,1,1,2,1
-0.8,3,32,1,1,3,0
-0.8,3,33,3,1,2,1
-0.8,3,34,0,1,2,0
-0.8,3,35,0,2,2,1
-0.8,3,36,1,2,1,1
-0.8,3,37,0,0,1,2
-0.8,3,38,0,0,2,0
-0.8,3,39,1,1,2,2
-0.8,3,40,0,1,6,1
-0.8,3,41,0,1,1,2
-0.8,3,42,0,0,6,0
-0.8,3,43,0,1,0,2
-0.8,3,44,1,0,1,0
-0.8,3,45,1,0,2,0
-0.8,3,46,0,1,1,2
-0.8,3,47,1,1,0,2
-0.8,3,48,0,0,4,0
-0.8,3,49,0,0,0,2
-0.8,3,50,0,5,2,3
-0.8,3,51,2,3,1,1
-0.8,3,52,0,3,0,3
-0.8,3,53,0,2,1,0
-0.8,3,54,0,2,0,4
-0.8,3,55,0,1,1,1
-0.8,3,56,1,1,0,3
-0.8,3,57,0,1,1,1
-0.8,3,58,5,0,3,0
-0.8,3,59,1,1,0,1
-0.8,3,60,1,0,0,0
-0.8,3,61,0,1,4,1
-0.8,3,62,0,1,3,0
-0.8,3,63,0,1,0,1
-0.8,3,64,4,0,5,1
-0.8,3,65,1,0,3,0
-0.8,3,66,2,1,3,0
-0.8,3,67,0,3,4,0
-0.8,3,68,1,0,2,0
-0.8,3,69,0,1,0,2
-0.8,3,70,0,0,3,0
-0.8,3,71,0,2,1,1
-0.8,3,72,2,2,2,0
-0.8,3,73,0,1,0,0
-0.8,3,74,1,1,2,0
-0.8,3,75,0,0,4,0
-0.8,3,76,0,3,0,1
-0.8,3,77,0,0,0,1
-0.8,3,78,0,0,1,0
-0.8,3,79,0,2,0,4
-0.8,3,80,3,0,2,0
-0.8,3,81,1,3,2,1
-0.8,3,82,0,1,2,0
-0.8,3,83,1,0,4,0
-0.8,3,84,0,1,0,1
-0.8,3,85,0,0,1,1
-0.8,3,86,1,1,2,0
-0.8,3,87,0,3,1,3
-0.8,3,88,4,2,0,3
-0.8,3,89,1,0,1,0
-0.8,3,90,0,0,2,0
-0.8,3,91,0,0,4,0
-0.8,3,92,1,2,4,0
-0.8,3,93,0,0,1,0
-0.8,3,94,0,1,2,1
-0.8,3,95,0,5,1,0
-0.8,3,96,0,1,0,2
-0.8,3,97,1,3,1,0
-0.8,3,98,0,0,1,0
-0.8,3,99,0,1,2,0
-0.8,3,100,0,4,0,2
-0.8,3,101,0,4,1,1
-0.8,3,102,0,0,1,0
-0.8,3,103,0,1,0,1
-0.8,3,104,1,0,1,2
-0.8,3,105,1,0,1,0
-0.8,3,106,2,2,1,0
-0.8,3,107,0,0,1,0
-0.8,3,108,2,1,1,0
-0.8,3,109,2,3,0,3
-0.8,3,110,1,0,0,0
-0.8,3,111,1,1,1,0
-0.8,3,112,0,2,0,1
-0.8,3,113,0,4,0,1
-0.8,3,114,1,1,1,0
-0.8,3,115,0,0,6,0
-0.8,3,116,2,0,2,0
-0.8,3,117,0,1,0,2
-0.8,3,118,3,2,1,0
-0.8,3,119,1,1,0,2
-0.8,3,120,2,0,3,0
-0.8,3,121,0,2,0,1
-0.8,3,122,0,3,4,0
-0.8,3,123,0,0,0,2
-0.8,3,124,1,0,1,0
-0.8,3,125,0,2,0,0
-0.8,3,126,0,0,0,1
-0.8,3,127,4,4,1,1
-0.8,3,128,0,0,1,0
-0.8,3,129,1,2,0,0
-0.8,3,130,0,1,1,2
-0.8,3,131,0,2,0,1
-0.8,3,132,1,1,2,0
-0.8,3,133,2,0,1,1
-0.8,3,134,1,0,1,1
-0.8,3,135,1,3,0,2
-0.8,3,136,0,2,1,1
-0.8,3,137,0,3,0,1
-0.8,3,138,1,0,0,0
-0.8,3,139,0,1,0,5
-0.8,3,140,0,2,1,1
-0.8,3,141,0,3,0,1
-0.8,3,142,0,1,2,1
-0.8,3,143,0,3,0,0
-0.8,3,144,1,0,2,0
-0.8,3,145,0,2,0,0
-0.8,3,146,0,3,0,1
-0.8,3,147,0,1,1,0
-0.8,3,148,0,1,1,2
-0.8,3,149,0,2,0,1
-0.8,3,150,0,1,3,0
-0.8,3,151,1,1,1,0
-0.8,3,152,0,0,0,0
-0.8,3,153,0,1,0,3
-0.8,3,154,1,1,0,0
-0.8,3,155,0,3,0,1
-0.8,3,156,0,1,0,0
-0.8,3,157,0,0,0,2
-0.8,3,158,1,2,0,1
-0.8,3,159,1,0,1,0
-0.8,3,160,0,0,0,0
-0.8,3,161,1,0,0,0
-0.8,3,162,4,1,1,0
-0.8,3,163,0,0,0,2
-0.8,3,164,1,1,2,0
-0.8,3,165,0,3,0,1
-0.8,3,166,0,2,0,2
-0.8,3,167,0,2,2,3
-0.8,3,168,1,1,0,2
-0.8,3,169,0,2,0,0
-0.8,3,170,2,0,2,0
-0.8,3,171,0,0,0,3
-0.8,3,172,1,2,3,2
-0.8,3,173,1,3,1,2
-0.8,3,174,1,0,0,0
-0.8,3,175,0,2,1,0
-0.8,3,176,2,1,2,0
-0.8,3,177,0,4,1,2
-0.8,3,178,3,4,3,0
-0.8,3,179,2,2,3,1
-0.8,3,180,1,0,1,2
-0.8,3,181,0,0,0,1
-0.8,3,182,2,1,0,1
-0.8,3,183,0,0,0,1
