Gamma,Assortativity
-1.0,0.2530693175316765
-1.0,0.21744072422452512
-1.0,0.1828993153215822
-1.0,0.16143050301125003
-1.0,0.21699659752272038
-1.0,0.19745144425446484
-1.0,0.29043792976384414
-1.0,0.1408047072604431
-1.0,0.1084068314702458
-1.0,0.1612297363520859
-1.0,0.14852952957125454
-1.0,0.0912476924711415
-1.0,0.18342639452585366
-1.0,0.15065002574624622
-1.0,0.2530997087271926
-1.0,0.28694252209823523
-1.0,0.144000209992868
-1.0,0.257983306777342
-1.0,0.2066172888431784
-1.0,0.23578494651137186
-1.0,0.17621844671465187
-1.0,0.19658901601833834
-1.0,0.21394751747717453
-1.0,0.22096422928962436
-1.0,0.16354927631960747
-1.0,0.27178591218534215
-1.0,0.12053867411893263
-1.0,0.21212854773031414
-1.0,0.2895685230856377
-1.0,0.23420314757105234
-1.0,0.22155041027293595
-1.0,0.2014268736660147
-1.0,0.21342562287925887
-1.0,0.19982049377989222
-1.0,0.17735078825434047
-1.0,0.1912771678583104
-1.0,0.1797705619287209
-1.0,0.2753857619977881
-1.0,0.25491812070347414
-1.0,0.131997435140413
-1.0,0.25374158011621767
-1.0,0.21058071529562158
-1.0,0.14353130363730793
-1.0,0.09663377851472553
-1.0,0.2509402145389975
-1.0,0.14062802023187942
-1.0,0.21855932521453647
-1.0,0.1918437757286663
-1.0,0.1541318119056233
-1.0,0.23289545047967963
-1.0,0.11426795711816902
-1.0,0.21459532703324907
-1.0,0.1490760438969844
-1.0,0.1786485140907164
-1.0,0.17302846346680956
-1.0,0.23455518397631664
-1.0,0.3006545358768014
-1.0,0.21042374255873253
-1.0,0.20800452784908838
-1.0,0.15438741176029702
-1.0,0.22634157113224268
-1.0,0.1768027414083108
-1.0,0.18045429434973514
-1.0,0.2503725337245387
-1.0,0.18174200888310788
-1.0,0.2082552877128094
-1.0,0.12881322339860635
-1.0,0.10650485238752996
-1.0,0.20998722203596457
-1.0,0.28660806297470864
-1.0,0.13319535985069203
-1.0,0.1549730678797177
-1.0,0.13308850666863561
-1.0,0.26061972901422414
0.1,0.21301585054789232
0.1,0.21210562022948057
0.1,0.1833044420515394
0.1,0.17126431672059003
0.1,0.13526844829616028
0.1,0.15912990813859526
